row_id,country,tender_year,buyer_id,bidder_id,main_cpv_2,main_cpv_3,main_cpv_3x,main_cpv_4,tender_publications_firstcallfortenderdate,tender_publications_firstdcontractawarddate,cartel_id,is_cartel,bid_iswinning,lot_bidscount,singleb,bid_isconsortium,bid_issubcontracted,bid_price,lot_estimatedprice,tender_estimatedprice,tender_finalprice
1,BG,2020,Buyer_1,Bidder_31154,market_23,market_23_190,market_23_190,905,10/6/2020,2/1/2021,,,TRUE,1,1,FALSE,,27917,,27917,27917
2,BG,2017,Buyer_2,Bidder_18921,market_29,market_29_249,market_29_249,1178,5/11/2017,8/15/2017,,,TRUE,4,0,FALSE,FALSE,130000,130000,130000,130000
3,BG,2014,Buyer_3,Bidder_18097,market_34,market_34_278,market_34_278,1275,5/8/2014,6/30/2015,,,TRUE,9,0,FALSE,FALSE,16650,,210000,16650
4,BG,2014,Buyer_3,Bidder_17435,market_34,market_34_278,market_34_278,1275,5/8/2014,6/30/2015,,,TRUE,8,0,FALSE,FALSE,60200,,210000,16650
5,BG,2014,Buyer_4,Bidder_18590,market_10,market_10_84,market_10_84,375,1/14/2014,5/13/2014,,,TRUE,1,1,FALSE,FALSE,1132,,,1132
6,BG,2008,Buyer_5,Bidder_1667,market_25,market_25_216,market_25_216,1059,,3/18/2008,,,TRUE,1,1,FALSE,,72325,,,72325
7,BG,2015,Buyer_6,Bidder_1686,market_14,market_14_122,market_14_122,585,,7/31/2015,,,TRUE,1,1,FALSE,FALSE,61500,,,61500
8,BG,2014,Buyer_7,Bidder_11068,market_23,market_23_190,market_23_190,905,6/12/2014,10/21/2014,,,TRUE,2,0,FALSE,FALSE,752147,,818192,752147
9,BG,2017,Buyer_8,Bidder_28598,market_2,market_2_10,market_2_10,42,8/1/2017,11/20/2017,,,TRUE,1,1,FALSE,FALSE,16666,16666,16666,16666
10,BG,2018,Buyer_9,Bidder_30716,market_23,market_23_192,market_23_192,917,4/23/2018,9/17/2018,,,TRUE,8,0,FALSE,FALSE,200000,200000,200000,200000
11,BG,2015,Buyer_10,Bidder_3284,market_43,market_43_355,market_43_355,1583,10/12/2015,1/6/2016,,,TRUE,1,1,FALSE,FALSE,500000,,,500000
12,BG,2009,Buyer_11,Bidder_17510,market_4,market_4_23,market_4_23,89,5/12/2009,8/13/2009,,,TRUE,3,0,FALSE,,387935,,330000,387935
13,BG,2015,Buyer_12,Bidder_25276,market_23,market_23_192,market_23_192,914,3/28/2014,10/5/2015,,,TRUE,5,0,FALSE,FALSE,195231553,,,412483251
14,BG,2015,Buyer_12,Bidder_25219,market_23,market_23_192,market_23_192,914,3/28/2014,10/5/2015,,,TRUE,2,0,TRUE,FALSE,75582112,,,412483251
15,BG,2015,Buyer_12,Bidder_2561,market_23,market_23_192,market_23_192,914,3/28/2014,10/5/2015,,,TRUE,2,0,TRUE,TRUE,93895303,,,412483251
16,BG,2015,Buyer_12,Bidder_2560,market_23,market_23_192,market_23_192,914,3/28/2014,10/5/2015,,,TRUE,5,0,TRUE,FALSE,47774281,,,412483251
17,BG,2019,Buyer_13,Bidder_30907,market_11,market_11_87,market_11_87,387,2/26/2019,,,,TRUE,,,FALSE,,,,98521,98521
18,BG,2017,Buyer_14,Bidder_28854,market_2,market_2_8,market_2_8,30,,10/31/2017,,,TRUE,1,1,FALSE,FALSE,104064,104064,,200587
19,BG,2014,Buyer_15,Bidder_26917,market_46,market_46_372,,1655,,11/25/2014,,,TRUE,,,FALSE,FALSE,,,,
20,BG,2014,Buyer_16,Bidder_20363,market_46,market_46_372,,1655,,11/10/2014,,,TRUE,1,1,FALSE,FALSE,90000,,,90000
21,BG,2014,Buyer_17,Bidder_18403,market_11,market_11_87,market_11_87,387,11/5/2013,4/17/2014,,,TRUE,4,0,FALSE,FALSE,75755,,97092,75755
22,BG,2007,Buyer_18,Bidder_14359,market_23,market_23_190,market_23_190,905,6/19/2007,10/1/2007,,,TRUE,3,0,FALSE,FALSE,490261,,,490261
23,BG,2013,Buyer_19,Bidder_20495,market_13,market_13_104,market_13_104,482,7/2/2013,11/21/2013,,,TRUE,1,1,FALSE,FALSE,270000,,,270000
24,BG,2017,Buyer_20,Bidder_16736,market_12,market_12_101,market_12_101,468,4/12/2017,6/19/2017,,,TRUE,3,0,FALSE,FALSE,509967,509967,872981,509967
25,BG,2013,Buyer_21,Bidder_15189,market_25,market_25_211,market_25_211,1024,8/13/2013,11/13/2013,,,TRUE,11,0,FALSE,FALSE,6537,,3040,34459
26,BG,2013,Buyer_21,Bidder_28521,market_25,market_25_211,market_25_211,1024,8/13/2013,11/13/2013,,,TRUE,11,0,FALSE,FALSE,1238,,3040,34459
27,BG,2013,Buyer_21,Bidder_16766,market_25,market_25_211,market_25_211,1024,8/13/2013,11/13/2013,,,TRUE,11,0,FALSE,FALSE,11088,,3040,34459
